name,founded_year,country_code,state_code,zip_code,city,address1,address2,raised_amount
Digital Domain Holdings,2009,USA,FL,34987,Port St. Lucie,10521 SW Village Center Drive,Suite 201,0
Digital Envoy,,USA,GA,30092,Norcross,155 Technology Parkway,Suite 800,1200000.0
Digital Equipment Corporation,1957,USA,MA,,Maynard,,,0
Digital Face,2003,GBR,,E6 4DD,Edinburgh,Studio 128,Pitt Street,0
Digital Finery,2005,AUS,,2065,Crows Nest,133 Alexander St,,0
Digital Fit Solutions,,USA,CA,89123,Las Vegas,7582 Las Vegas Blvd,Suite 305 ,0
Digital Forest,1998,JPN,,102-0074 ,"Chiyoda-ku, Tokyo",Yamawaki building 4F ,"4-8-21, Kudan Minami ",0
Digital Fuel,2000,USA,CA,94107,San Mateo,951 Mariner's Island Blvd.,Suite 665,5000000.0
Digital Fuel Technologies,2000,USA,CA,94404,San Mateo,951 Mariner's Island Boulevard,Suite 665,25000000.0
Digital Fusion,1995,USA,AL,35805,Huntsville,5030 Bradford Drive,"Building 1, Suite 210",0
Digital Girl Media,,USA,VA,22015 ,Burke,5765-F Burke Center Pkwy #151 ,,0
Digital Harbor,1997,USA,VA,20191,Reston,1851 Alexander Bell Drive ,Suite 200 ,11000000.0
Digital Heritage ,2011,CHE,,6300,Zug,Baarerstrasse 14a,,0
Digital Hill Multimedia,1997,USA,IN,46526,Goshen,229 S. Main St.,,0
Digital Ignite,2005,USA,VA,20191,Reston,11864 Sunrise Valley Drive,suite 201,0
Digital Ignite Learning,2005,USA,VA,20191,Reston,11864 Sunrise Valley Drive,suite 201,0
Digital Impact,1995,GBR,,E1W 2DA,London,Unit 6&7 Princes Court ,,0
Digital Insight,,USA,CA,91362,Westlake Village,5601 N. Lindero Canyon Rd.,Suite 100,0
Digital Instructor,2006,USA,CO,80301,Boulder,6899 Winchester Circle,,0
Digital Interactive,2003,USA,CA,90802,Long Beach,444 West Ocean Boulevard,Suite 1070,0
Digital Island,,NZL,,1150,Auckland,Level 3 ,8 Nugent Street ,0
Digital Jigsaw,,GBR,,SE1 7NX,London,The Tower Building,11 York Road,0
Digital Journal,1998,CAN,,M5C 2K4,Toronto,31 Adelaide St. East,P.O. Box 1046,0
Digital Jungle,2007,CHN,,,Beijing,,,0
Digital Lifeboat,2007,USA,WA,98074,Sammamish,3421 Eastlake Sammamish,Shore Lane NE,2000000.0
Digital Look,,GBR,,EC3A 7BX,London,"First Floor, ",133 Houndsditch,0
Digital Lumens,2008,USA,MA,02114,Boston,"129 Portland Street, 4th floor",(Entrance on Valenti Way),16300645.0
Digital Luxury,2008,BRA,,,Sao Paulo,R. Sampaio Vidal 1140,,0
Digital Luxury Group (DLG),2011,CHE,,1208,Geneva,"7, avenue Krieg",,0
Digital Madhouse,2010,USA,AZ,85260,Scottsdale,,,0
Digital Magics,2004,ITA,,20139 ,Milano,Via Orobia 3 ,,0
Digital Map Products,,USA,CA,92612,Irvine,18831 Von Karman Ave.,Suite 200 ,4400000.0
Digital Marketing Group,1985,GBR,,OX49 5PX,Oxfordshire,"Couching House,  Couching Street,",Watlington,0
Digital Marketing Solutions,2002,SGP,,048581,Singapore,16 Raffles Quay#33-08 ,Hong Leong Building ,0
Digital Media Jobs,,CAN,,,Edmonton,,,0
Digital Media Wire,2000,USA,CA,90069,West Hollywood,8721 W. Sunset Blvd. Suite P8,,0
Digital Meld,2009,USA,TX,77036,Houston,8215 Sands Point Drive,,0
Digital Mines,2010,IRL,,IRL,Dublin Airport,BAF House,Corballis Wood,0
Digital Ministry,2008,AUS,,2000,Sydney,"Suite 24, Level 6",58 Pitt Street,0
Digital Mint,2008,CHE,,6300,Zug,Weidstrasse 22,,0
"Digital Mountain, Inc.",2003,USA,CA,94404,Foter City,553 Pilgrim Drive,Suite C,0
Digital Music India,2004,IND,,,Mumbai,10 Carter Road,"201A Gagangiri, Bandra West",4500000.0
Digital Nation,,GBR,,SA3 4EU,Swansea,126 Overland Road,Mumbles,0
Digital Natives Marketing,2010,USA,HI,96815,Honolulu,3121 Pualei Circle,Suite 12,0
Digital New Media Limited,2009,GBR,,TQ1 3HX,Torquay,Parkfield House,Teignmouth Road,0
Digital Nirvana,1996,USA,CA,94560,Newark,"39899 Balentine Dr, Ste 200",,0
Digital Objectives,2010,GBR,,,,,,0
Digital Operative Inc,2008,USA,CA,92110 ,San Diego,3990 Old Town Avenue,Suite A208,0
Digital Orchid,2002,USA,CA,92121,San Diego,3978 Sorrento Valley Boulevard,Suite 100,6245292.0
Digital Ordnance,2003,USA,CA,90278,Redondo Beach,1724 Rockefeller Lane,,0
Digital Partners,2006,NZL,,1052,Auckland,"Level 2, 11 York Street",Parnell,0
Digital Payment Technologies,1997,CAN,,V5C 6B4 ,,4105 Grandview Highway,"Burnaby, BC",3000000.0
Digital Performance,2006,USA,CA,92660,Newport Beach,Suite 200,,4476171.0
Digital Photo Recovery,,USA,,,,,,0
Digital Pigeon,2011,AUS,,,Melbourne,,,0
Digital Proctor,2009,USA,TX,,Austin,,,0
Digital Projection,,USA,GA,30144,Kennesaw,"55 Chastain Road, NW, Suite 115",,0
digital publishing,2000,FRA,,75010 ,Paris,digital publishing SAS,2 rue Gabriel Laumain,0
Digital Railroad,,USA,NY,10003,New York,116 E 16th Street,12th Floor,15200000.0
Digital Rapids,2001,CAN,,L3R 6H3,"Markham, Ontario",90 Allstate Parkway,Suite 700,0
Digital Realty Trust,,USA,CA,94105,San Francisco,560 Mission St.,Suite 2900,0
Digital Reasoning Systems,2000,USA,TN,37067,Franklin,730 Cool Springs Blvd,Suite 110,0
Digital Recognition,2009,DNK,,2000,Frederiksberg,Roskildevej 42C,,0
Digital Reef,2006,USA,MA,01719,Boxborough,85 Swanson Road,Suite 120,20000000.0
Digital ReveNew,2008,ITA,,20128,Milan,"Via Andrea Cesalpino, 60",,0
Digital Revolution Studios,,USA,CA,91405,Van Nuys,14558 Raymer Ave,,0
Digital River,1994,USA,MN,55344,Eden Prairie,9625 West 76th Street,,0
Digital Safety Technologies,,USA,NC,27560,Morrisville,511 Davis Drive,Ste. 300 ,41100000.0
Digital Samba,2002,ESP,,,Barcelona,,,0
Digital Sandbox,,USA,VA,22102,McLean,8260 Greensboro Drive,Suite 200,0
Digital Scientists,2007,USA,GA,30306,Atlanta,1123 Zonolite Road,Suite 11,0
Digital Signal,,USA,VA,22312,Alexandria,5568 General Washington Drive,Suite A-200,15000000.0
Digital Sky Technologies,2005,RUS,,,Moscow,,,688000000.0
Digital Sonata,2006,AUS,,,Melbourne,,,0
Digital Sports,,USA,MD,21046,Columbia,8945 Guilford Road,Suite 130,0
Digital Sports Media,2007,GBR,,,,,,0
Digital Stampede,2007,USA,IL,60625,Chicago,,,0
Digital Strategics,2010,IND,,560 038,Bangalore,"No.1134, 4th Floor, 100 Feet Road,","HAL 2nd Stage, Indiranagar",0
Digital Support Technology,,USA,CA,94025,Menlo Park,200 Middlefield Road ,Suite 106,0
Digital Technology International,1981,USA,UT,84663,Springville,1180 N. Mountain Springs Pkwy,,0
Digital Time Capture Inc.,2005,CAN,,T6E 5V1,Edmonton,Suite 201,9644 - 54 Avenue,0
Digital Trends,,USA,OR,97204,Portland,111 SW 5th Ave. Suite 1000,,0
Digital Trowel,2008,ISR,,70151,Lod,1 Hayarden St. ,Airport City,0
Digital Union,,USA,CA,91602,Toluca Lake,4650 Willow Crest Ave,,1700000.0
Digital Variant,,USA,NY,12601,Poughkeepsie,99 Cannon St,1st Floor,0
Digital Ventures,,AUS,,,MYAREE," 17 Aldous Place,",,0
Digital View,1995,USA,CA,95037,Morgan Hill,18440 Technology Drive,,0
Digital Vision Multimedia Group,2006,USA,MI,48237,Detroit,,,0
Digital Visitor,2008,GBR,,BS15EH,Bristol,10 Orchard Street,Bristol,0
Digital WarRoom,2002,USA,WA,98104,Seattle,811 1st Avenue,,0
Digital Winds,2010,USA,CO,80132,Monument,,,0
Digital-Edge,1996,USA,NY,10311,Staten Island, 7 Teleport Drive,,0
Digital-Telepathy,2001,USA,CA,92103,San Diego,2970 Fifth Avenue,Suite 340,0
DigitalAdvisor,,USA,MA,02138,Cambridge,14 Arrow St. Suite 10,,0
digitalArbor,2008,USA,MA,02025,Cohasset,123 Atlantic Avenue ,,0
DigitalArmm,2007,USA,IL,60607,Chicago,200 S Wacker,15fl,0
DigitalAttorney,2010,USA,CA,92626,Costa Mesa,575 Anton Blvd.,Suite 300,0
digitalbucket.net,2007,USA,CA,,,,,0
DigitalCoCo,2010,USA,FL,33326,Fort Lauderdale,304 Indian Trace #725,,0
DigitalDeejay,2005,FRA,,69300,CALUIRE ET CUIRE,19 MONTEE DE L EGLISE,,0
DigitalExperts.Net,2005,PAK,,74300,Karachi,Gulshan e Iqbal,,0
DigitalGlobe,1992,USA,CO,,Longmont,,,0
Digitalk Notebooks,2006,ARG,,1005,Buenos Aires,Florida 890 piso 20,,0
digitalle,2010,GBR,,GU32 3ET,Petersfield,1st Floor Southdown House,Station Road,0
Digitally Imported,2000,USA,CA,94301,Palo Alto,467 Hamilton Ave,,0
DigitalPath,,USA,CA,95973,Chico,275 Airpark Boulevard,Suite 500 ,0
DigitalPost Interactive,,USA,CA,92604,Irvine,4040 Barranca Pkwy.,Ste 220,1441525.0
DigitalRealm,,USA,MI,48104,Ann Arbor,220 East Huron,Suite 260,0
Digitalsmiths,2006,USA,NC, 27701,Durham,320 Blackwell Street,Suite 200,31500000.0
DigitalStakeout,,USA,GA,,Atlanta,,,0
DigitalThink,1996,USA,CA,,San Francisco,,,0
DIGITALVOX,2009,REU,,97400,Saint-Denis,3 rue de Cr?mont,,0
Digitaria,,USA,CA,10014,San Diego,350 10th Ave,Suite 1200,0
Digitaria Interactive,1997,USA,CA,,,,,0
Digitas,,USA,,,,,,0
Digit?,,USA,CA,94041,Mountain View,,,0
Digite,2002,USA,CA,94041,Mountain View,82 Pioneer Way,Suite 102,0
Digitech Systems,1997,USA,CO,80111,Greenwood Village,8400 East Crescent Parkway,Suite 500,0
Digiteka,2006,FRA,,75009,PAris,"2, rue du Helder",,0
Digitel,,USA,GA,,Atlanta,,,0
digiteq.com,1991,BGR,,1000,Sofia,Angel Kunchev #5,,0
Digitiliti,2006,USA,MN,55101,Saint Paul,266 East 7th Street,,435000.0
Digitrad Communications,1999,FRA,,75008,PARIS,91 rue du Faubourg Saint-Honor?,,2500000.0
Digium,1999,USA,AL,35806,Huntsville,445 Jan Davis Dr,,13800000.0
DigiWorks,2003,USA,TX,78660,Pflugerville,P.O. Box 2072,,0
Digna Biotech,,ESP,,28003,Madrid,"Boix y Morer, 6  8?",,0
DIGO (DiMassimo Goldstein),,USA,NY,10010,New York,220 E. 23rd St.,Suite 201,0
Digsville,1999,USA,NY,12561,New Paltz,114 Plains Road,,0
Diigo,,USA,NV,,Reno,,,0
Diino,,SWE,,111 23,Stockholm?,Barnhusgatan 16,,0
DiJiPOP,2008,USA,RI,02906,Providence,206 Waterman Street,,2000000.0
dijit,2006,USA,CA,94588,Pleasanton,"7901 Stoneridge Drive, Suite 540",,2450000.0
Dilettante Music,,GBR,,W1U 7LS,London ,Suite 5 ,46 Manchester Street ,0
Diligence,2000,GBR,,E14 5AB,London,10th Floor ,One Canada Square Canary Wharf,0
Diligent Technologies,2002,USA,MA,01702,Framingham,175 Crossing Boulevard,9/90 Corporate Center,10500000.0
Dilithium Networks,2001,USA,CA,94954,Petaluma," 5401 Old Redwood Highway, Suite 100",,98170000.0
dilitronics,,DEU,,07745,Jena,Moritz-von-Rohr-Str. 1a,,2720000.0
Dillyeo,2008,USA,IL,60605,Chicago,719 S. State Street,,0
Dilogs,2002,ESP,,08790,Gelida,Moli nou 15,,0
Dilyx Biotechnologies,,USA,WA,98104,Seattle,,,0
Dimac Ventures,2009,SWE,,SE-252 24,Helsingborg,Pr?stgatan 12,,0
Dimdim,,USA,MA,01851,Lowell,900 Chelmsford St,,8400000.0
Dimension Data Network Services,1983,GBR,,EC4M 7RT,London,Fleet Place House,2 Fleet Place,0
Dimension Technology Solutions,1994,USA,CO,80112,Englewood,9800 Mount Pyramid Court,Suite 130,0
dimension5 labs,2008,USA,NM,87505,Santa Fe,1025 Don Diego Ave,,0
dimento.com,,DEU,,48153 ,M?nster,Hammer Stra?e 89 ,,0
Dimest,2007,SWE,,118 24,Stockholm,Tavastgatan 28,,0
Dimestore Media,2006,USA,NY,10016,NY,386 Park Ave,- 19th Floor ,0
Dimofinf,1998,SAU,,,Riyadh,534 Aloruba ST,,0
Dinahosting,2000,ESP,,15705,Santiago de Compostela,R?a das Salvadas 41,,0
Dindong,2008,BRA,,05432-070,S?o Paulo - SP,"Rua Jer?nimo da Veiga, 164 - cj 12E",,250000.0
DINEROyCREDITO.com,2007,USA,NY,10001,New York,244 5th Avenue,F202,0
Dinglepharb,2009,HKG,,,Fotan N.T,30-32 Au Pui Wan St,Unit 6 level 1 Wah Yiu,400000.0
Dinosaur Lunchbox,2010,USA,FL,32826,Orlando,13803 Riverpath Grove Dr.,,0
Dinsk,2008,USA,WA,98034,Kirkland,9910 NE 137th St,,0
Dinsmore Steele,2010,USA,NY,10001,New York ,"244 Fifth Avenue, Suite 1522 ",,0
DiObex,2003,USA,CA,94103,San Francisco,600 Townsend Street,Suite 271,31080000.0
Diodes Incorporated,,USA,TX,75248,Dallas,15660 N. Dallas Parkway,Suite 850,0
Diomede Storage,2008,USA,CA,94120-7775 ,San Francisco,PO Box 7775,#55629,0
Dioscouri Design,,USA,NY,10026,New York,257 West 117th Street,,0
DiOui,2008,ARG,,1061 AAL,Buenos Aires,Sarmiento 669,,0
Dipity,2007,USA,CA,94107,San Francisco,164 South Park,,900000.0
Diquest,2001,KOR,,152-848,Seoul,Gurogu guro3dong 222-14,Ace highend tower 2nd room no. 604,0
Direct Access Partners,,USA,NY,10005,New York,"11 Wall Street, Pod I",,0
Direct Agents,2003,USA,NY,10003,New York,740 Broadway,Suite 701,0
Direct Buy Lighting,1994,USA,NY,11220,Brooklyn,245 48th Street,,0
Direct Commercial Funding,1963,USA,TX,77002,Houston,440 Louisiana St. Ste 900,,0
Direct Digital,2009,USA,NC,28202,Charlotte,508 W 5th St,Suite 140,0
Direct Drive Systems,,USA,CA,90703,Cerritos,12880 Moore Street,,0
Direct Flow Medical,,USA,CA,95403,Santa Rosa,"451 Aviation Blvd., Suite 107 A",,40000000.0
Direct General Insurance,1991,USA,TN,37217,Nashville,1281 Murfreesboro Road ,,0
Direct Grid Technologies,2009,USA,NY,11717,Edgewood,131 Heartland Blvd.,,1000000.0
Direct Hit,,USA,FL,32901,Melbourne,1680 West Hibiscus Boulevard,Suite A,0
Direct Media Technologies,,CAN,,,Toronto,,,4200000.0
Direct Medical Data,1896,USA,IL,60018,Des Plaines,2340 River Road,Suite 408,0
Direct Message Lab,2005,USA,NY,10018,New York,110 W 40th St.,Suite 1704,0
Direct Objective Consulting,,CAN,,H4P 2M8,Montreal,"5200 Rue de la Savane, Suite 240",,0
Direct Optic,2008,FRA,,44700,Orvault,168 route de vannes,,0
Direct Partners,1994,USA,CA,94105,San Francisco,555 Market Street,16th Floor,0
Direct Response Concepts,,USA,NC,28211,Charlotte ,5960 Fairview Road,Suite 400,0
Direct Villas Tenerife,2006,GBR,,DL1 4GG,Darlington,Newham House,Dudley Road,0
Direct Wristbands,,USA,,,,,,0
Directa Plus,,GBR,,W1K 1DG,LONDON,18 SOUTH STREET,,4260000.0
DirectAdoptions.com,2009,USA,NY,11801,Hicksville,25 Newbridge Road Suite 420,,500000.0
DirectAthletics,2000,USA,MA,02134,Boston,"DirectAthletics, Inc.",P.O. Box 1151,0
DirecTECH Southwest,,USA,LA,70507,Lafayette,201 Breakwater Drive,,0
Directed Edge,2008,DEU,,10997,Berlin,Schlesische Str. 26,,15000.0
Directed Energy,,USA,NY,14228,Amherst,1576 Sweet Home Road,,0
Directflights.com,,GBR,,KT9 1SG,Chessington,Bemin House,Cox Lane,0
Directi,1998,IND,,400069,Andheri (East),Next to Andheri Subway,Old Nagardas Road,0
DirectLaw,2008,USA,FL,33419,Palm Beach Gardens,800 Village Square Crossing,Suite 318,300000.0
Directlyrics,2009,NLD,,,Amsterdam,,,0
DirectMoney,2006,AUS,,2010,Balmain,15 Barr Street,,98000.0
Director-ee,2010,USA,OH,43230,Columbus,155 Mill Street,,0
DirectPointe,,USA,UT,84042,Lindon,333 South 520 West,Suite 200,7715715.0
Directtrack,1994,USA,PA,15220,Pittsburgh,730 Holiday Drive ,Foster Plaza #8 ,0
DIRECTV,1990,USA,CA,,El Segundo,2230 East Imperial Highway,,0
DIREVO Industrial Biotechnology,2000,DEU,,D - 50829,Cologne,Nattermannallee 1,,24900000.0
Dirt Cheap Signs,1994,USA,TX,78645,Lago Vista,7301 Bar K Ranch Rd.,,0
Dirtt Environmental,,CAN,,T2C 1N6,Calgary,"7303 - 30th Street S.E.,",,22000000.0
Dirxion,,USA,MO,,St Louis,,,0
Dis.cuss.It,2008,GBR,,PO19 1ES,Chichester,Dis.cuss.It ,Avenue House Southgate,0
Discera,2001,USA,CA,95131,San Jose,1961 Concourse Drive,Suite E,35500000.0
Disco Networks,2009,USA,TX,78752,Austin,7703 North Lamar,,0
Discount Office Needs UK,,GBR,,N12LJ,London,"274A, St Pauls Road",,0
Discount Sports Tickets,2007,USA,NY,11205,Brooklyn,45 Main St,,0
discount-battery.us,2009,USA,NJ,11211,USA,,,0
Discounts Ahoy,2010,USA,UT,84106,Salt Lake City,2745 Filmore St,,0
Discountshuffle,2010,DEU,,40489,Duesseldorf,Im Spich 34,,0
DiscountSpy,2008,GBR,,SW15 2SH,London.,"Oxford House,","182 Upper Richmond Road,",0
DiscountsVu.com,2008,IND,,600099,Chennai,#63/56 1st Main Road Lakshmi Nagar Vinayagapuram ,Kolathur,0
Discover Financial Services,,USA,IL,60015,Riverwoods,2500 Lake Cook Road,,0
"Discover Media, LLC",2006,USA,GA,30092,Atlanta,5696 Peachtree Parkway,Suite 205,0
Discovering Startups,2010,USA,MA,,Boston,,,0
DiscoverOrg,2006,USA,WA,98661,Vancouver,3312 E. Fourth Plain Blvd.,Suite 103,0
Discovery Communications,,USA,,,,,,0
Discovery Engine,2007,USA,CA,94105,San Francisco,101 Second Street,,0
Discovery Laboratories,,USA,PA,18976,Warrington,2600 Kelly Road,Suite 100,0
Discovery Logic,2001,USA,MD,20850 ,Rockville,1375 Piccard Drive,,0
Discovery Mining,2002,USA,CA,94129-0194,San Francisco,86 Graham Street,"Presidio of San Francisco, Suite 200",0
Discovery Solutions,2008,USA,CA,94088,Sunnyvle,PO Box 64340,,0
Discovr,,AUS,,6160,Fremantle,8 Bannister St,,0
Discrete Wireless,2000,USA,GA,30076,Roswell,1327 Northmeadow Pkwy,Suite 150,0
Discretix,2000,ISR,,40593,Kfar Netter,"Grand Netter Industrial Zone, Delta building",,20000000.0
Discretix Technologies,2000,ISR,,40593,Kfar Netter,Grand Netter Industrial Zone,Delta building,20000000.0
Discus Awards,2009,USA,MD,20814,Bethesda,7101 Wisconsin Avenue,Suite 750,0
dishKarma,2008,USA,NH,,Manchester,,,0
Disney Interactive Media Group,,USA,CA,91601,North Hollywood,5161 Lankershim Blvd.,,0
DispatchThis,2004,USA,NE,68105,omaha,621 S. 37th St. #209,,0
Displax,2004,PRT,,4710,Braga,Centro de Neg. Empresariais,"Parque Ind. Ada?fe , Lt C3",0
Display Photonic Systems,,USA,CA,91354 ,Valencia,27639 N. Cobblestone Ct,,0
Displaybank,1999,USA,CA,,San Jose,"4320 Stevens Creek Blvd., Suite #230",,0
DisplayLink,2003,USA,CA,94306,Palo Alto,480 South California Ave,Suite 304,53250000.0
DisputeSuite,2006,USA,FL,34652,New Port Richey,7235 US Highway 19,,0
DISQUS,2007,USA,CA,94105,San Francisco,589 Howard St.,3rd Floor,10500000.0
Disruptive Media,2007,FIN,,FIN-00180,Helsinki ,Business identity code 2133698-8,Lapinlahdenkatu 13 A 10,0
Disrupto,2008,USA,NY,11211,Brooklyn,,,0
Distant Measures,2006,USA,AZ,85028,,,,0
"Disternet, Inc.",2009,CAN,,V6X 2W2,Richmond,3751 Shell Rd.,Suite 260,0
Distil Interactive,2005,CAN,,ON K2H 8R6,Ottawa,16 Fitzgerald Road,Suite 200,3048000.0
Distilled,2006,GBR,,EC4N 6AE,London,72 Cannon Street ,2nd Floor,0
Distimo,2009,NLD,,3512ES,Utrecht,Ambachtstraat 2,,0
DistinctHorizon,,CAN,,H3A 1L4,Montreal,400 de Maisonneuve West ,Suite 1200 ,0
Distinctive Media,2000,GBR,,BS1 5HX,Bristol,Park House,10 Park St,0
"DistinctiveFabric.com, Inc.",2004,USA,CA,90021,Los Angeles,2079 E 15th St #330,,0
Distinctively Chicago Property Management,2008,USA,IL,60626,Chicago,1751D W Howard,151,0
Distra,1999,AUS,,NSW 2010,Sydney,"Level 2, Ballarat House ",15 Foster Street ,3850000.0
Distressed Pro,2009,USA,MA,,Arlington,,,0
Distribeo,2009,FRA,,75020,Paris,14 rue Soleillet,,0
Distribion,,USA,TX,75206,Dallas,Campbell Center - North Tower,"8350 N Central Expressway, 16th Floor",0
Ditech Networks,,USA,CA,94043,Mountain View,825 East Middlefield Rd.,,0
Ditley Web Design,,USA,IL,60601,Chicago ,155 N. Michigan Ave. ,Suite 734,0
Diurnal,,GBR,,CF24 0AB,Cardiff,"8th Floor, Eastgate House",35 - 43 Newport Road,0
Diva Communications,1985,USA,NY,10036,New York,630 9th Avenue ,Suite 304,0
Diveboard,2011,FRA,,92200,Neuilly-sur-Seine,"163, avenue Charles de Gaulle",,0
DiveIntoThePool.com,2007,USA,TX,,Austin,,,0
Divergence,1999,USA,MT,63141,St. Louis,893 North Warson Road,,11800000.0
Diverse Solutions,2005,USA,CA,92688,Irvine,370 Goddard,,0
Diverse Ventures,2008,USA,PA,16505-4998,Erie,1903 West 8th St.,PMB #114,0
Diversified Information Technologies,1982,USA,PA,18503,Scranton,123 Wyoming Ave,,0
Diversinet,1997,CAN,,M2J 5B5,Toronto,2235 Sheppard Avenue East,Suite 1700,0
Diversity Limited,2007,NZL,,,Christchurch,PO Box 22709,,0
Divestco USA,2005,USA,CO,80202,Denver,999 18th Street,Suite 1100,0
Dividual,2008,JPN,,1050004,Tokyo,6-11-12 MK bldg. 3F,Minato-ku Shinbashi,0
Divine IT Limited,2005,BGD,,1230,Dhaka,"34, Gausul Azam Avenue","Sector 13, Uttara",0
Divinos IT Solutions Pvt Ltd,2007,IND,,500073,Hyderabad,8-3-833/59,"Phase-1, Kamalapuri Colony",0
DiVitas Networks,2005,USA,CA,94041,Mountain View,"321 Castro St, Second floor",,38430000.0
divorce360,2007,USA,FL,33418,North Palm Beach,760 US Highway One,,2500000.0
Divox,2010,BRA,,07082-180,Guarulhos,"Rua Geishofer, 169 cj. 11",Pican?o,0
DivShare,,USA,VA,20190,Reston,11654 Plaza America,Suite 531,0
Divvy,2007,USA,WA,98121,Seattle,300 Lenora St B159,,0
DivX,,USA,CA,92121,San Diego,4780 Eastgate Mall,,35000000.0
Dixero International SA,2009,CHE,,6900,Lugano,Viale Stefano Franscini 30,,3000000.0
Dixon Technologies,,IND,,201 305,Noida,"B-14/15, Phase-II",Noida- (U.P.),9350000.0
DIY Media,2010,USA,WA,98104,Seattle,215 2nd Avenue S. Suite M1,,0
DIY Real Estate Solutions,,USA,OH,44143 ,Cleveland,767 Beta Drive,Suite A,400000.0
DIYSEO,2009,USA,IL,60642,Chicago,1333 N. Kingsbury,Ste 204,1500000.0
diyseo.com,,USA,,,,,,0
Dizeo,2010,GBR,,PA1 2BH,Paisley,Trojan House,Phoenix Business Park,0
Dizzot,2006,USA,CO,80601,,,,0
Dizzyjam,2009,GBR,,CF5 3BG,Cardiff,6 Fairwater Workshops,Norbury Rd,0
Dizzywood,2007,USA,CA,,,,,2000000.0
DJ Nitrogen,2007,USA,CA,94118,San Francisco,11 Lupine Avenue,,0
djacap,2008,DEU,,40213,Duesseldorf,Heinrich-Heine-Allee 3,,0
Django Stars,2008,UKR,,,Kiev,"Moldavska street 2, office 118",,0
djangy,2010,USA,CA,,San Francisco,,,0
DJTUNES.COM,2005,DEU,,44795,Bochum,Kohlenstra?e 51,,798000.0
DK New Media,2005,USA,IN,46204,Indianapolis,120 Market Street,Suite 940,0
DLA Piper,2005,USA,DC,20004,Washington,"500 Eighth Street, NW ",,0
Dlinked Inc. ,2008,USA,CA,91204,Glendale,413 S. Central Ave Suite A151,,0
DLL,2008,IND,,,new delhi,,,0
DLP Mobile,2009,USA,NY,10018,New York,469 7th Ave,,0
DLT Solutions,1991,USA,VA,20171,Herndon,"13861 Sunrise Valley Drive, Suite 400",,0
dluxehotels,2008,ESP,,17800,Olot,"Bisbe Vilanova, 2 Ent.1",,0
dlvr.it,2009,USA,CA,94607,Oakland,469 Ninth Street #210,,0
DMA Roadshow,2009,USA,CA,94133,San Francisco,916 Kearny,Suite #601,0
Dmailer,2001,FRA,,13003,Marseille,"37/41, rue Guibal Hall Sud",2nd Floor,3610000.0
dMarc Broadcasting,,USA,,,,,,0
Dmarc8 International,,USA,SC,29609,Greenville,30 Lotus Ct. ,,0
DMC Office Services,,USA,NJ,08690,Hamilton Square,PO Box 2946 ,,0
DMC Stratex Networks,1984,USA,CA,95134,San Jose,120 Rose Orchard Way ,,0
DMC Worldwide,,USA,NY,10016,New York,105 Madison Avenue,,0
DMI,,USA,MD,20817,Bethesda,6701 Democracy Blvd,Suite 500,0
dmInteractive,1995,USA,WI,54304,Green Bay,1400 Lombardi Avenue ,Suite 30 ,0
DMN3,1992,USA,TX,77018,Houston,2010 North Loop West  ,Suite 240 ,0
DMS Insights,,USA,TX,75287,Dallas,19111 N. Dallas Parkway ,Suite 350,0
DMS Systems,,USA,NC,27804,Rocky Mount,4123 Capital Drive,,0
DNA Diagnostics Center,1995,USA,OH,45014,Fairfield,DNA Technology Park,One DDC Way,0
DNA Games,2009,USA,CA,94066,San Bruno,1111 Bayhill Dr.,Suite 410,2000000.0
DNA Guide,2009,USA,CA,,Sebastopol,,,0
DNA Imprints,2010,USA,CA,92121,San Diego,8833 Production Ave,,0
DNA13,2001,CAN,,K1N 7E5,Ottawa,283 Dalhousie Street,Suite 300,4530000.0
DNage,2004,NLD,,,,DR Molenwaterplein 50,3015 GE Rotterdam,1940000.0
DNAnexus,,USA,CA,,Palo Alto,,,1550000.0
DNAstar,1984,USA,WI,53705  ,Madison,3801 Regent Street ,,0
dnHost,2000,GRC,,17672,Athens,Davaki 17,Kallithea,0
DNovae,2007,ESP,,28037,Madrid,"C/. Alfonso G?mez, 17/19",planta 3 oficina 9,0
DNP Green Technology,2008,USA,NJ,08540,Princeton,53 Dorann Avenue,,12000000.0
DNS Made Easy,2001,USA,VA,20191,Reston,Commerce Park Drive,,0
DNS.com,,USA,KY,40205,Louisville,2815 Taylorsville Rd #301,,0
DNSChart,,IND,,600084,Chennai,"No. 113 Gee Gee Shroff Centre 3rd Floor, Opp. To Hotel Abu Palace, P.H Road, Purasaiwalkam,",,0
DNSPod,2006,CHN,,264006,Yantai,"Room 518,Building #2,Software Park,No.32 ZhuJiang Road,Development Area",,0
DNSStuff.com,2002,USA,MA,02144,Somerville,20 Holland Street ,Suite 406B ,0
DNZoom,,USA,FL,33426,Boynton Beach,2240 Woolbright Road #203 ,,0
Do You Wanna Hook Up?,2009,USA,NY,11235,New York,,,0
do@,2010,ISR,,53631,Givataim,2 Halamed Hey,,7000000.0
DoApp,2007,USA,MN,55419,Minneapolis,,,0
Dobson Communications,,USA,OK,73134,Oklahoma City,14201 Wireless Way,,0
DocAsap,2009,USA,PA,19104,Philadelphia,Vance Hall Suite 408,3373 Spruce Street,0
docAssist,2002,USA,FL,33016,Miami Lakes,14411 Commerce Way,Suite 440,0
