name,founded_year,country_code,state_code,zip_code,city,address1,address2,raised_amount
Abbey Business Centres,,GBR,,EC1A 4EN,London,16 St Martin's le Grand,,0
Abbott Labs,1991,USA,IL,60018-3315,Des Plaines,1300 East Touhy,,0
AbbysFunHouse.com,2009,USA,AL,36111-0586,Montgomery,P.O. Box 11586,2129 East South Blvd,0
ABBYY,1989,RUS,,129301,Moscow,Kasatkina Street 11 ,building 1 ,0
ABC eCommerce,2008,USA,WA,98087,Seattle,901 Occidental Ave S.,,0
ABC Live,2007,IND,,160009,Chandigarh,Sector 7,,25000.0
ABC News Online,,USA,NY,10023 ,New York,77 W. 66 St.,,0
Abcellute,2001,GBR,,AL7 3AX,Herts,"BioPark, Braodwater Road",Welwyn Garden City,0
ABCi Interactive,1996,USA,IL,60005,Arlington Heights,48 W Seegers Rd,,0
ABCO Global,1900,USA,MO,63129-4243,Saint Louis,5640B Telegraph Road #200 ,,0
ABCO TECHNOLOGY,2001,USA,CA,90045,Los Angeles,6733 Sepulveda Blvd. ,#106,0
Abcodia,,GBR,,W1T 4TP,London,The Network Building,97 Tottenham Court Road,0
ABeam Consulting (M) Sdn. Bhd.,2006,MYS,,,Kuala Lumpur,,,0
AbeBooks,1996,CAN,,V9A 6X5,Victoria,655 Tyee Road,Suite 500,0
Abella Books,1998,USA,UT,84090,Sandy,PO Box 900352,,0
Abengoa,,ESP,,41014,Seville,Campus Palmas Altas,Plot ZE-3 (Palmas Altas),0
Abenity,2006,USA,TN,37067,Franklin,725 Cool Springs Blvd. Suite 600,,0
abeo,,USA,TX,75206,Dallas,8150 North Central Expressway Suite #635,,0
Aberdeen Group,1988,USA,MA,02110,Boston,260 Franklin Street ,Suite 260,0
aBetterOffice,2008,USA,KY,40507,Lexington,348 E Main Street,,0
Abfrontier,,PRK,,153-801,Seoul,"11F., Byucksan Digital Valley 5th","Gasan-dong 60-73, Geumcheon-gu",0
ABI Research,,USA,NY,11771,Oyster Bay,249 South Street,,0
ABIBA Systems,2007,IND,,560034,Bangalore,BSK 2nd Stage,,0
Abilis New England,1988,USA,ME,04104,Portland,245 Commercial street ,Suite 303,0
Abilis Solutions,1996,CAN,,H3A2R7,MONTR?AL,1010 Sherbrooke West,Suite 1900,0
ABILITY Network,,USA,MN,55403,Minneapolis,Butler Square,"100 North 6th Street, Suite 900A",27000000.0
Abillo,2009,NLD,,,,,,0
Abine,,USA,MA,02139,Cambridge,720 Massachusetts Avenue,,0
Abintegro,2008,GBR,,W4 5YA,"Chiswick, London",Building 3,Chiswick Park,0
Abiquo,2006,USA,CA,94065,Redwood City,203 Redwood Shores Parkway,Suite 280,15740000.0
Able Body Labor,1986,USA,FL,33759,Clearwater,3040 Gulf To Bay Boulevard,,0
Able Planet,2005,USA,CO,80033,Wheat Ridge,9500 W. 49th Ave.,Bldg. B-102,150000.0
AbleBots,2011,GBR,,B37 7EU,Solihull,Long Bungalow,,0
