"","name","country_code","amount_raised","category_code","number_of_employees","founded_year"
"10154","InforSense","GBR",10000,"software","","1999"
"10166","INI Power Systems","USA",4000,"semiconductor","","2001"
"10172","Infotrieve","USA",5000,"software","","1987"
"10180","Infoxel","ARG",305,"public_relations","30","2001"
"10182","InfraReDx","USA",31000,"biotech","","1998"
"10184","Infrasoft Technologies","IND",24800,"software","","1994"
"10186","Invicta Networks","USA",200,"public_relations","","1999"
"10188","Infrastruct Security","USA",6760,"security","","2006"
"10195","Infusion Software","USA",16900,"software","","2001"
"10197","Infusionsoft","USA",17000,"software","140","2001"
"10200","IngBoo","USA",1000,"web","12","2008"
"10203","Inigral ","USA",6980,"web","","2007"
"10204","Ingenious Med","USA",3250,"biotech","",""
"10209","Ingenuity Systems","USA",15400,"biotech","","1998"
"10214","Ingrian Networks","USA",15400,"security","",""
"10215","InGrid","USA",35050,"web","","2004"
"10218","Inhabi","USA",14,"ecommerce","2","2011"
"10222","InhibOx","GBR",1890,"biotech","",""
"10228","Initiate Systems","USA",31000,"enterprise","280","1994"
"10241","Inkling","USA",20,"public_relations","4","2007"
"10245","Inlet Technologies","USA",22400,"network_hosting","","2003"
"10248","InLive Interactive","ISR",6440,"software","","2005"
"10250","InMage Systems","USA",25000,"software","150","2001"
"10251","Inmagic","USA",7000,"software","","1983"
"10256","InMobi","IND",15600,"mobile","140","2007"
"10259","Innalabs Holding","USA",4880,"hardware","","2001"
"10265","innerActive","ISR",2300,"advertising","0","2005"
"10266","Innovasic Semiconductor","USA",6220,"semiconductor","","1991"
"10269","InnerRewards","USA",1000,"ecommerce","9","2008"
"10270","InnerWireless","USA",25000,"public_relations","",""
"10271","InnerWorkings","USA",12960,"software","30","2002"
"10279","Innobell","ISR",200,"mobile","4","2010"
"10280","Innobits","SWE",398,"semiconductor","","2001"
"10281","InnoCentive","USA",22800,"enterprise","32","2001"
"10283","InnovativeSilicon","USA",25000,"hardware","","2002"
"10286","Innofidei","CHN",10000,"hardware","","2006"
"10292","Innography","USA",9500,"enterprise","","2006"
"10293","Innolume","DEU",8960,"semiconductor","",""
"10294","Innominate Security Technologies","DEU",5230,"public_relations","","2001"
"10295","InnomiNet","USA",25,"security","","2008"
"10297","InnoPad","USA",7721.429,"other","","2006"
"10298","InnoPath Software","USA",20500,"software","185","2001"
"10304","Innotas","USA",11500,"public_relations","","2000"
"10305","Innotech Solar","NOR",19610,"cleantech","","2008"
"10310","Innova Card","FRA",4610,"semiconductor","","2002"
"10312","Innovacene","USA",100,"semiconductor","",""
"10313","Innovalight","USA",36400,"cleantech","",""
"10316","Innovate Wireless Health","USA",100,"mobile","6","2009"
"10320","Innovation Fuels","USA",15500,"cleantech","",""
"10321","Innovation International","USA",1000,"software","10","2009"
"10324","Innovationszentrum f?r Telekommunikationstechnik","DEU",1052,"hardware","","1997"
"10326","Innovative Biologics","USA",100,"biotech","","2003"
"10327","Innovative Biosensors","USA",13000,"biotech","15","2004"
"10332","Innovative Silicon","USA",47000,"other","","2002"
"10334","Innovative Spinal Technologies","USA",18000,"biotech","23","2002"
"10342","Innovid","USA",7100,"advertising","20","2007"
"10353","Inotek Pharmaceuticals","USA",18000,"biotech","",""
"10363","Inovus Solar","USA",860,"cleantech","",""
"10368","InPhase Technologies","USA",52100,"hardware","","2000"
"10379","Inrix","USA",31100,"software","","2004"
"10386","InSeT Systems","USA",400,"public_relations","",""
"10391","INSIDE Contactless","FRA",80260,"software","","1995"
"10398","Insider Pages","USA",8500,"web","",""
"10404","InsideView","USA",37400,"enterprise","75","2005"
"10407","Insight Guru","USA",1600,"web","","2007"
"10410","Insightix","ISR",6000,"security","","2004"
"10411","InsightSquared","USA",1000,"enterprise","",""
"10414","inSilica","USA",18000,"semiconductor","","2003"
"10416","InSite Wireless","USA",7000,"mobile","","2000"
"10418","InSphero","CHE",1740,"biotech","",""
"10421","Insitu Mobile","COL",100,"mobile","15","2006"
"10425","InSound Medical","USA",11000,"biotech","",""
"10433","Inspirational Stores","FRA",11470,"ecommerce","",""
