"","name","country_code","amount_raised","category_code","number_of_employees","founded_year"
"1","ClearPoint Metrics","USA",3800,"software","","1999"
"2","ClearRisk","CAN",1000,"web","15",""
"3","ClearSaleing","USA",3750,"advertising","","2006"
"9","Clearspring","USA",58000,"advertising","40","2004"
"14","Cleartrip ","IND",51000,"search","300","2006"
"20","Clearway Technology Partners","USA",730,"software","",""
"21","Clearwell Systems","USA",29000,"software","210","2004"
"22","Clearwire","USA",5620000,"mobile","","2003"
"24","Clerk","CHL",110,"software","6","2010"
"31","Clever Sense","USA",1000,"web","10","2008"
"35","Cleversafe","USA",36400,"software","","2004"
"36","CleverSet","USA",3600,"ecommerce","",""
"41","Clickatell","USA",12000,"public_relations","","2000"
"51","Click4Ride","USA",50,"enterprise","4","2011"
"52","Clickability","USA",11500,"enterprise","","1999"
"53","Clickable","USA",20500,"advertising","110","2006"
"55","ClickFuel","USA",5000,"advertising","20","2009"
"57","ClickingHouse","SGP",50,"other","2","2009"
"64","Clickpass","USA",20,"web","90","2007"
"67","Clicks2Customers","ZAF",3700,"web","60","2003"
"71","Clickshare Service Corp.","USA",3200,"web","","1994"
"72","ClickShift","USA",6000,"software","","2005"
"75","ClickSquared","USA",47710,"software","175","1999"
"76","Clickst","USA",500,"software","4","2010"
"79","ClickTale","ISR",3000,"web","","2006"
"95","ClientShow","USA",750,"public_relations","10","2008"
"98","Clifton","EST",2000,"semiconductor","20","2000"
"100","Clikthrough","USA",2000,"software","5","2007"
"118","Clinverse","USA",2200,"other","",""
"128","CLK Design Automation","USA",5610,"software","","2004"
"134","Cliqset","USA",2000,"web","5","2008"
"139","Cloakware","USA",10000,"software","","1997"
"144","Closely","USA",500,"advertising","7","2009"
"145","Closet Couture","USA",475,"ecommerce","4","2007"
"148","Cloud 9 Wireless","USA",1,"mobile","","2010"
"151","Cloud Sherpas","USA",2600,"software","45","2008"
"152","Cloud Engines","USA",21253.184,"public_relations","400","2010"
"162","Cloud Technology Partners","USA",1000,"consulting","5","2009"
"164","Cloud.com","USA",11000,"network_hosting","","2008"
"167","Cloud9 Analytics","USA",21600,"enterprise","40","2007"
"169","Cloudability","USA",150,"enterprise","3","2011"
"172","Cloudant","USA",1015,"network_hosting","6","2008"
"177","CloudCrowd","USA",5100,"other","12","2009"
"178","Cloudera","USA",36000,"enterprise","4","2008"
"179","CloudFab","USA",25,"ecommerce","2","2008"
"180","CloudFlare","USA",2050,"other","12","2009"
"181","CloudFloor","USA",3000,"software","",""
"185","Cloudkick","USA",2750,"software","15","2009"
"188","Cloudmark","USA",38500,"security","100","2001"
"191","CloudPassage","USA",6500,"security","10","2009"
"192","Cloudpic Global","SGP",6000,"software","",""
"198","CloudShare","USA",10000,"enterprise","","2007"
"200","CloudShield Technologies","USA",25000,"software","","2000"
"210","CloudTran","USA",600,"software","6","2011"
"216","Cloverleaf Communications","USA",11000,"public_relations","","2001"
"217","Clovis Oncology","USA",165000,"biotech","",""
"218","EngXi","USA",15,"web","5",""
"219","Clovr Media","USA",9800,"software","",""
"225","Club Point","ARG",100,"ecommerce","7","2010"
"238","Cluepedia","USA",430,"software","",""
"239","Clupedia","USA",1300,"network_hosting","","2000"
"241","ClusterSeven","GBR",7290,"software","","2003"
"242","Clustrix","USA",12000,"web","",""
"245","ClydeTec Systems","USA",35,"semiconductor","",""
"254","Cmed ","GBR",5000,"consulting","188","1999"
"260","CMOSIS nv","BEL",1175,"semiconductor","","2007"
"266","CMS Global Technologies","GBR",1030,"software","",""
"267","CmyCasa","USA",600,"software","15","2008"
"269","Cnano Technology","USA",6000,"other","",""
"281","COADE","USA",42000,"software","","1984"
"282","CoAdna Photonics","USA",2630,"hardware","",""
"285","Collarity","USA",10400,"advertising","30",""
"286","CoaLogix","USA",13350,"cleantech","",""
"288","CoalTek","USA",33000,"cleantech","",""
"289","Coapt Systems","USA",26320,"biotech","",""
"294","Coaxis","USA",10000,"software","","2004"
"296","Cobalt Technologies","USA",45000,"cleantech","",""
"302","Coco Communications","GBR",953.453,"consulting","",""
"303","Cocodot","USA",2000,"web","",""
"304","coComment","CHE",5600,"web","","2006"
"307","CoDa Therapeutics","USA",29200,"biotech","",""
"318","Code Green Networks","USA",34000.418,"software","","2004"
"329","Codefast","USA",6500,"software","","2004"
"331","Codemedia","BRA",60,"mobile","5","2009"
"335","CodeGlide","USA",500,"software","10","2007"
"336","CodeGuard","USA",500,"software","10","2010"
"343","Codenomicon","USA",3600,"security","50","2001"
"351","Codesion","USA",400,"software","12","2005"
"356","Codexis","USA",37000,"biotech","",""
"359","Codon Devices","USA",33000,"biotech","","2004"
"362","Collecta","USA",6580,"search","10","2008"
"366","CoFluent Design","FRA",2600,"software","20","2003"
"369","Cogency Software","USA",2500,"software","","1997"
"370","Cogenics","USA",4500,"biotech","","1992"
"372","Cogent Communications Group","USA",510,"network_hosting","","1999"
"376","Cogenta Systems","GBR",1340,"software","","2006"
"378","Cogentus Pharmaceuticals","USA",62500,"biotech","","2006"
"379","Coghead","USA",11200,"web","21","2003"
"381","Cogito","USA",11700,"software","","1994"
"382","Cognection","USA",25,"ecommerce","4","2010"
"383","Cogniscan","USA",500,"software","",""
"389","CogniFit","USA",5000,"web","15","1999"
"391","Cognio","USA",3000,"hardware","","2000"
"394","CogniTens","ISR",7000,"software","","1995"
"396","Cognition Technologies","USA",2700,"software","20","2003"
"397","Cognition Therapeutics","USA",6410,"biotech","",""
"400","Cognitive Match","GBR",10150,"enterprise","40","2009"
"411","Collax","DEU",8400,"software","","2005"
"414","Cohda Wireless","AUS",1800,"mobile","","2004"
"415","Cohera Medical","USA",41100,"biotech","",""
"417","Coherex Medical","USA",16500,"biotech","","2003"
"422","Cohuman","USA",1800,"software","9","2009"
"433","ColdLight Solutions","USA",1000,"software","10","2007"
"434","ColdSpark","USA",6500,"software","","2001"
"437","Coley Pharmaceutical Group","USA",10000,"biotech","","1997"
"440","Colizer","USA",120,"advertising","","2004"
"446","Collaborative Software Initiative","USA",1000,"enterprise","50","2007"
"449","Collactive","USA",2000,"web","",""
"453","Collective ","USA",20000,"advertising","160","2005"
"456","Collective Intellect","USA",13987.239,"enterprise","","2005"
"460","Collectric","SWE",287,"hardware","","2003"
"466","College Snack Attack","USA",20,"ecommerce","6","2010"
"467","College Tonight","USA",2244.5,"mobile","15",""
"473","CollegeFanz","USA",2500,"network_hosting","","2007"
"474","CollegeHumor","USA",20000,"games_video","","1999"
"480","CollegeWikis","USA",2000,"web","7",""
"481","Compliance 360","USA",2200,"software","","2000"
"483","Collexpo","USA",225,"ecommerce","4","2008"
"485","Collider Media","USA",2875.825,"advertising","","2009"
"487","Collplant","ISR",16300,"biotech","",""
"490","Color Labs","USA",41000,"web","","2010"
"491","Colubris Networks","USA",29000,"public_relations","","2000"
"492","TrialPay","USA",15800,"web","100","2006"
"501","COLOURlovers","USA",1000,"web","4","2005"
"508","Com2uS Corp.","USA",8000,"mobile","",""
"509","ComAbility","ISR",6000,"public_relations","","2003"
"510","ComActivity","SWE",2860,"software","","2001"
"514","Comat Technologies","IND",25000,"other","","1996"
"516","CombiMatrix","USA",6700,"biotech","",""
"518","Combinature Biopharm","DEU",5110,"biotech","","2000"
"519","CombineNet","USA",2120,"enterprise","","2000"
"520","Combinent Biomedical Systems","USA",1500,"biotech","",""
"524","combionic","DEU",1600,"software","","2007"
"534","Comeks","GIN",1000,"mobile","",""
"535","Conversocial","GBR",2400,"software","8","2009"
"537","CoMentis","USA",32000,"biotech","","2004"
"538","Comet Solutions","USA",7000,"software","","2001"
"541","Comfyware","ISR",1200,"other","","2003"
"542","Comic Wonder","USA",750,"web","","2007"
"549","Comixology","USA",150,"mobile","","2007"
"560","CommerceSimple","USA",685,"ecommerce","","2010"
"563","Commercetools","DEU",834,"software","","2006"
"566","Commex Technologies","ISR",11500,"enterprise","","2005"
"581","CommProve","IRL",18000,"enterprise","","1996"
"589","Communicado","USA",15600,"software","",""
"595","CommuniClique","USA",50,"software","25","2006"
"601","Community Energy","USA",4000,"cleantech","",""
"617","Company.com","USA",5665,"enterprise","","2010"
"619","CompanyLoop","USA",5000,"network_hosting","",""
"631","Competitive Power Ventures","USA",19460,"cleantech","",""
"634","Compiere","USA",6000,"software","",""
"636","Complete Genomics","USA",90000,"biotech","",""
"637","Complete Network Technology","IRL",5630,"network_hosting","","2001"
"643","Complex Media","USA",14533.695,"games_video","",""
"646","Compliance11","USA",6178.766,"software","","2005"
"648","Complix","BEL",6200,"biotech","",""
"653","Compound Semiconductor Technologies","GBR",5980,"semiconductor","",""
"663","CompuPay","USA",20000,"software","","1980"
"665","Compute","USA",5000,"web","3","2005"
"671","TrustMob","USA",11,"web","4","2011"
"685","COMS Interactive","USA",2700,"biotech","",""
"686","comScore","USA",65600,"web","",""
"687","Comsenz","CHN",2000,"public_relations","",""
"694","Comtica","POL",155,"software","",""
"699","Comuto","FRA",1540,"web","","2006"
"704","Comviva","IND",13500,"mobile","",""
"705","Conatus Pharmaceuticals","USA",27500,"biotech","",""
"718","Concert Pharmaceuticals","USA",99500,"biotech","","2006"
"722","Conclusive Marketing","USA",8000,"software","","1997"
"731","Concuity","USA",2500,"software","",""
"742","CondoDomain","USA",250,"web","25","2005"
"744","Conducive Technology","USA",1500,"web","20","2003"
"745","Conductor","USA",12600,"search","75","2005"
"746","Conduit","USA",9800,"network_hosting","","2005"
"747","Conduit Labs","USA",8500,"games_video","",""
"754","Confabb","USA",200,"web","","2006"
"755","Confer","USA",400,"enterprise","6","2009"
"762","Confidela","USA",14750,"software","20","2007"
"763","Confident Technologies","USA",1500,"enterprise","8",""
"766","Confidex","FIN",3760,"hardware","",""
"771","Confluence Solar","USA",12700,"cleantech","",""
"773","Confluence Technologies","USA",60000,"software","",""
"778","Conformia Software","USA",27250,"software","",""
"779","Conformiq","USA",4200,"software","20",""
"780","ConforMIS","USA",50000,"biotech","","2004"
"781","Conformity","USA",3000,"enterprise","20","2007"
"792","Conject","DEU",5000,"software","",""
"793","ConjuGon","USA",3300,"biotech","","2001"
"794","Conjunct","GBR",402,"network_hosting","","2004"
"797","Conmio","FIN",2000,"mobile","","2002"
"801","Connect Financial Software Solutions","USA",500,"software","","2007"
"806","ConnectAndSell","USA",7500,"software","",""
"807","Connectbeam","USA",3500,"software","","2005"
"816","ConnectEdu","USA",18703.843,"software","","2002"
"820","Connectiva Systems","USA",17000,"software","",""
"823","ConnectM Technology Solutions","IND",6000,"software","","2007"
"825","ConnectNigeria.com","NGA",130,"search","12","2008"
"828","ConnectSoft","USA",400,"software","",""
"833","ConnectYard","USA",500,"public_relations","","2007"
"836","connex.io","CHE",10,"public_relations","3","2010"
"840","Connotate","USA",5250,"software","","2000"
"841","Connotate Technologies","USA",5250,"software","","2000"
"851","ConSentry Networks","USA",46400,"network_hosting","80","2003"
"853","Consert","USA",2555.689,"cleantech","","2008"
"858","Constellation Pharmaceuticals","USA",37000,"biotech","",""
"860","Consim Info","IND",20400,"ecommerce","600","1997"
"864","Consolidated Energy","USA",200,"cleantech","",""
"866","Consorte Media","USA",7000,"web","0","2005"
"875","Construction Software Technologies","USA",11000,"software","","1993"
"881","Consult A Doctor","USA",5000,"other","",""
"887","ConsumerBell","USA",10,"web","2","2010"
"894","Contact Solutions","USA",46000,"public_relations","",""
"899","Contactual","USA",9000,"public_relations","",""
"903","Contagious Media","USA",8000,"enterprise","","2006"
"910","Contemporary Analysis ","USA",15.798,"consulting","5","2008"
"915","Content Circles","USA",250,"software","7","2007"
"919","Content Syndicate: Words on Demand","ARE",1500,"enterprise","15","2007"
"925","ContentRealtime","USA",50,"other","4","2007"
"931","ContextLogic","USA",1700,"web","9","2010"
"932","ConteXtream","USA",23600,"other","","2006"
"935","ContextWeb","USA",53500,"advertising","",""
"938","Continuent","USA",5750,"software","15","2004"
"939","Continuity Engine","USA",4030,"software","11","2008"
"941","ConXtech","USA",7100,"other","",""
"943","Continuity Software","USA",1000,"software","","2005"
"951","Contour Semiconductor","USA",23999.888,"semiconductor","",""
"957","ContraFect","USA",14200,"biotech","",""
"963","Control Medical Technology","USA",3000,"biotech","",""
"968","Control4","USA",93000,"hardware","","2003"
"973","ControlScan","USA",3500,"security","","2008"
"976","Conveneer","SWE",5792,"mobile","","2004"
"980","Converged Access","USA",8000,"public_relations","","1996"
"981","Convergence Pharmaceuticals","GBR",35400,"biotech","",""
"986","Convergin","ISR",10000,"network_hosting","","2000"
"997","Convey Computer","USA",40150,"hardware","","2006"
"998","Convio","USA",10150,"software","","1999"
"1001","Conviva","USA",44000,"games_video","",""
"1002","Convo Communications","USA",500,"public_relations","",""
"1005","Convoke Systems","USA",5500,"software","","2006"
"1016","Cooking.com","USA",94000,"public_relations","","1998"
"1019","CoolSystems","USA",7250,"biotech","",""
"1024","Cool Earth Solar","USA",22750,"cleantech","9",""
"1029","Coolerado","USA",7200,"cleantech","","2004"
"1031","Cooliris","USA",28100,"web","","2006"
"1035","CoolPlanetBioFuels","USA",8000,"cleantech","",""
"1041","Coopers Pick","USA",50,"games_video","10","2008"
"1042","Cooptions Technologies","IND",10000,"software","","1999"
"1044","CopaCast","USA",2470,"other","15","2006"
"1046","Copan Systems","USA",68400,"network_hosting","144","2002"
"1047","Copanion","USA",16200,"software","","2005"
"1052","Copiun","USA",1900,"software","",""
"1055","CopperGate Communications","ISR",14500,"semiconductor","","2000"
"1056","CopperKey","USA",2200,"software","","1997"
"1060","Coradiant","USA",12700,"public_relations","","2000"
"1061","Coraid","USA",35000,"network_hosting","","2000"
"1065","CorasWorks","USA",4000,"software","","2003"
"1067","Core Security Technologies","USA",4500,"software","",""
"1070","Cordys","NLD",80000,"software","550","2001"
"1073","Core Dynamics","USA",17900,"biotech","",""
"1074","Core Essence Orthopaedics","USA",11500,"biotech","",""
"1088","Corefino","USA",13600,"software","","2004"
"1089","Duer Advanced Technology and Aerospace","USA",2000,"software","",""
"1090","CoreFlow ","ISR",3200,"other","","1999"
"1094","Coremetrics","USA",91000,"advertising","","1999"
"1095","Corensic","USA",6000,"software","","2008"
"1098","CoreOptics","DEU",89500,"network_hosting","","2001"
"1099","Corepair","USA",5685,"biotech","",""
"1108","CoreTrace","USA",13297.777,"security","","2007"
"1109","Corvil","USA",31480,"software","50","2000"
"1113","Corindus","USA",4700,"other","","2001"
"1117","Corium International","USA",40000,"biotech","",""
"1121","Cosential","USA",250,"public_relations","10","1999"
"1124","Cornerstone OnDemand","USA",44700,"software","320","1999"
"1125","Cornerstone Pharmaceuticals","USA",12100,"biotech","",""
"1129","Cornice","USA",148000,"hardware","","2000"
"1132","CorNova","USA",5000,"biotech","25","2003"
"1133","Coro Health","USA",2000,"other","",""
"1134","Coronado Biosciences","USA",25500,"biotech","",""
"1148","CorrectNet","USA",3370,"other","34","1997"
"1151","Correlsense","USA",14500,"software","","2005"
"1152","Correx","USA",2800,"biotech","",""
"1153","Corridor Pharmaceuticals","USA",15000,"biotech","","2007"
"1154","Corrigo","USA",20000,"software","","1999"
"1156","Cortera","USA",8000,"other","","1993"
"1158","Cortex Healthcare","USA",60,"enterprise","4","2009"
"1160","Corthera","USA",23000,"biotech","",""
"1161","Cortina Systems","USA",162000,"hardware","",""
"1165","Coskata","USA",83200,"cleantech","","2006"
"1181","CostumeWorks","USA",175,"ecommerce","3","2008"
"1182","Cotendo","ISR",36000,"software","30","2008"
"1183","CoTweet","USA",1100,"enterprise","18","2009"
"1186","Couchbase","USA",10000,"software","","2009"
"1188","CouchOne","USA",2000,"software","","2009"
"1192","Coulomb Technologies","USA",32750,"cleantech","",""
"1194","Counsyl","USA",2200,"biotech","",""
"1196","Countdown To Buy","USA",1100,"other","",""
"1200","CounterStorm","USA",9500,"semiconductor","50","2001"
"1201","Coupa Software","USA",27000,"enterprise","50","2006"
"1212","Coupons.com","USA",246760,"web","","1998"
"1220","CourseAdvisor","USA",12000,"ecommerce","","2004"
"1222","Courtanet","FRA",3780,"other","",""
"1230","Covagen","CHE",40500,"biotech","","2007"
"1233","Covalys Biosciences","CHE",2590,"biotech","","2002"
"1236","Covario","USA",16000,"enterprise","100","2006"
"1239","Covarity","CAN",11000,"web","","2001"
"1241","Covelus ","GBR",789,"network_hosting","","2003"
"1242","Coveo","USA",16700,"enterprise","",""
"1245","CoverHound","USA",750,"web","3","2010"
"1248","Coverity","USA",22000,"software","155","2002"
"1250","Coveroo","USA",3800,"hardware","11","2008"
"1253","Covertix","ISR",1000,"security","10","2007"
"1256","Covestor","USA",11100,"web","",""
"1258","CoVi Technologies","USA",30000,"security","","2002"
"1261","CoWare","USA",7000,"software","","1997"
"1269","Cozi","USA",20600,"web","26","2005"
"1272","cPacket Networks","USA",1100,"network_hosting","","2003"
"1279","CPM Braxis","BRA",1e+05,"consulting","5400","1982"
"1282","CPower","USA",27680,"cleantech","","2000"
"1285","CR2","IRL",14200,"software","","1997"
"1288","Crackle","USA",1750,"games_video","","2004"
"1290","Cradle Technologies","USA",13000,"hardware","50",""
"1291","CradlePoint Technology","USA",7500,"hardware","",""
"1297","Craigslist","USA",13500,"web","25","1995"
"1299","Cramster","USA",9000,"web","","2002"
"1303","Cranite Systems","USA",11500,"software","","2000"
"1316","CRE Secure Payments","USA",3180,"ecommerce","20",""
"1317","Cross Pixel Media","USA",300.015,"advertising","","2010"
"1325","CreatetheGroup","USA",12000,"ecommerce","",""
"1329","eBuilder","SWE",5626.68,"enterprise","",""
"1334","Creative Circle Advertising Solutions","USA",2250,"advertising","","2004"
"1348","Credit Sesame","USA",7350,"web","6","2010"
"1359","Creativity Software","GBR",767,"software","","2001"
"1362","CREDANT Technologies","USA",5000,"security","","2001"
"1368","Credit Coach","USA",1000,"software","7","2008"
"1369","Credit Karma","USA",3000,"web","18","2007"
"1372","CreditCards.com","USA",58800,"web","51","2004"
"1375","CreditPing.com","USA",580,"web","5","2009"
"1381","Crescendo Biologics","GBR",7300,"biotech","",""
"1382","Crescendo Bioscience","USA",5000,"biotech","","2002"
"1383","Crescendo Networks","ISR",24500,"network_hosting","75","2002"
"1386","Cresta Technology","USA",5000,"software","40","2005"
"1387","CrestaTech","USA",1500,"software","40","2005"
"1392","CRI Technologies","USA",10000,"consulting","","2001"
"1395","CrimeReports","USA",7200,"web","22","2007"
"1397","Crisp Media","USA",11020,"advertising","",""
"1399","Crispy Gamer","USA",8250,"games_video","","2008"
"1400","Criteo","USA",23360,"advertising","240","2005"
"1405","Critical Blue","GBR",7810,"software","","2003"
"1406","Critical Links Inc","USA",4000,"software","","2008"
"1407","Critical Media","USA",6200,"games_video","","2002"
"1408","Critical Pharmaceuticals","GBR",1400,"biotech","","2002"
"1409","CriticalBlue","GBR",9700,"software","25","2003"
"1410","CriticalMetrics","USA",100,"web","4","2007"
"1415","Critique^It","USA",600,"software","","2008"
"1416","CritiSense","ISR",2200,"biotech","",""
"1417","CritiTech","USA",1050,"biotech","",""
"1426","Crono","USA",25,"web","","2008"
"1437","Crossbeam Systems","USA",24500,"security","","2000"
"1438","Crossbow Technologies","USA",12000,"public_relations","","1995"
"1442","Crossing Automation","USA",13045,"semiconductor","","2003"
"1443","CrossLoop","USA",9000,"web","8",""
"1448","Crowd Factory","USA",6500,"network_hosting","15","2006"
"1452","Crowd Science","USA",2000,"web","25","2007"
"1454","Crowd Technologies","USA",1000,"other","",""
"1458","Crowdcast","USA",6000,"software","13","2007"
"1464","CrowdEngineering","USA",4350,"enterprise","15","2008"
"1465","CRS Reprocessing Services","USA",12000,"cleantech","",""
"1467","CrowdFlower","USA",13200,"enterprise","28","2007"
"1469","CrowdGather ","USA",12207.68,"web","9","2008"
"1472","CrowdOptic","USA",1000,"web","",""
"1477","Crucell","NLD",443000,"biotech","","1993"
"1484","crowdSPRING","USA",3000,"web","10","2007"
"1485","CrowdStar","USA",23000,"software","","2008"
"1491","CrowdTwist","USA",1500,"other","7","2009"
"1495","Crown Bioscience","USA",28800,"biotech","",""
"1496","CrownPeak","USA",10250,"software","","2001"
"1501","Cruise Compare","GBR",100,"ecommerce","3","2011"
"1504","Crunchyroll","USA",4800,"games_video","20","2006"
"1509","Crux Biomedical","USA",8000,"biotech","",""
"1516","Crysalin","GBR",2400,"biotech","","2007"
"1519","Crystalplex","USA",150,"biotech","",""
"1523","CS-Keys","USA",6535,"biotech","",""
"1525","CSA Medical","USA",10000,"biotech","",""
"1534","CSIdentity","USA",36130,"web","50",""
"1540","CSS","USA",47000,"software","","1996"
"1547","Cswitch","USA",30000,"semiconductor","",""
"1548","CT Atlantic","CHE",8970,"biotech","",""
"1563","CTS Media","CHN",11000,"advertising","","2005"
"1568","Cubby","USA",65,"other","2",""
"1570","Cube Route","CAN",5860,"software","","2003"
"1573","Extreme Reach","USA",11600,"advertising","","2007"
"1574","CubeTree","USA",11500,"software","12","2008"
"1580","Cubicl","USA",130,"web","2","2009"
"1590","Cuculus","DEU",3540,"software","","2007"
"1595","Cuil","USA",33000,"search","30","2005"
"1601","DarkWorks","FRA",5440,"games_video","","1998"
"1602","Cultivate IT Solutions & Management Pvt. Ltd.","IND",20,"software","8","2010"
"1603","Culture Jam ","USA",500,"web","3","2008"
"1621","Curbed Network","USA",1500,"web","","2004"
"1624","CureDM","USA",2500,"biotech","",""
"1626","Curemark","USA",6500,"biotech","","2004"
"1627","Curetis","DEU",34300,"biotech","","2007"
"1628","CureVac","DEU",34900,"biotech","",""
"1630","Curis","USA",8000,"biotech","34","2000"
"1634","Currensee","USA",16800,"web","","2008"
"1636","Current Media","USA",15000,"network_hosting","",""
"1637","Current Motor Company","USA",700,"cleantech","",""
"1639","Curse","USA",12000,"web","35","2006"
"1656","Financial Transaction Services","USA",50000,"enterprise","",""
"1659","CustomerXPs Software","IND",4000,"software","",""
"1661","CustomMade.com","USA",1150,"ecommerce","22","1996"
"1674","CVN Networks","CHN",7,"consulting","6","2007"
"1679","CWR Mobility","NLD",1500,"software","50","2006"
"1687","CYA Technologies","USA",3000,"semiconductor","","1998"
"1689","Cyan","USA",30750,"network_hosting","","2006"
"1692","Cyanto","USA",1000,"cleantech","",""
"1699","Cybera","USA",18000,"public_relations","","2001"
"1700","CyberArts","USA",16333,"software","25",""
"1701","CyberCity 3D","USA",7850,"software","8","2008"
"1705","CyberHeart","USA",13600,"biotech","",""
"1711","Cybernet Software Systems","USA",22500,"software","",""
"1718","Fashion Evolution Holdings","ZAF",500,"other","",""
"1725","CYBRA","USA",2480,"software","",""
"1728","CycloMedia Technology","NLD",29360,"software","","1980"
"1731","Delivery Agent","USA",68700,"ecommerce","","2001"
"1736","Cylande","FRA",20800,"software","","1986"
"1737","Cylene Pharmaceuticals","USA",56000,"biotech","",""
"1739","Digital Safety Technologies","USA",41100,"hardware","",""
"1740","Cymbet","USA",52000,"hardware","","2000"
"1741","Cymphonix","USA",4000,"public_relations","","2004"
"1746","Cyntellect","USA",24500,"biotech","","1997"
"1747","CyOptics","USA",77000,"hardware","","1999"
"1751","CypherMax","USA",148000,"hardware","","2000"
"1759","Fashion Playtes","USA",5500,"ecommerce","",""
"1762","Cyren Call Communications","USA",170,"consulting","","2006"
"1766","CyrusOne","USA",150000,"software","","2000"
"1768","Cyterix Pharmaceuticals","USA",9200,"biotech","",""
"1769","Cytheris","FRA",45700,"biotech","","1999"
"1771","Cytocentrics","DEU",2950,"biotech","",""
"1774","Cytomedix","USA",13000,"biotech","",""
"1777","CytomX Therapeutics","USA",30000,"biotech","",""
"1778","Cytoo","FRA",4700,"biotech","",""
"1782","CytoSolv","USA",500,"biotech","","2009"
"1783","Cytovance Biologics","USA",22500,"biotech","",""
"1785","Cyvenio Biosystems","USA",1968.783,"biotech","","2008"
"1798","D.light Design","USA",11500,"cleantech","11",""
"1802","D2C Games","USA",7500,"games_video","","2006"
"1804","D2S","USA",9000,"semiconductor","",""
"1814","Dabble","USA",350,"games_video","",""
"1821","Dachis Group","USA",30000,"consulting","","2008"
"1822","Dacos Software","DEU",3580,"software","","1977"
"1844","Daily Grommet","USA",4450,"ecommerce","","2008"
"1848","DailyBooth","USA",7015,"public_relations","4","2009"
"1850","DailyDeal","DEU",9360,"ecommerce","",""
"1851","DailyDigital","USA",150,"ecommerce","0","2010"
"1855","Dailymotion","FRA",68500,"software","120","2005"
"1861","DailyStrength","USA",5000,"web","14","2006"
"1862","DailyWorth","USA",850,"web","","2009"
"1867","Daintree Networks","USA",8000,"cleantech","","2003"
"1870","dakick","TUR",350,"web","4","2010"
"1872","Dakim","USA",10600,"hardware","",""
"1875","Daktari Diagnostics","USA",4600,"biotech","","2008"
"1881","Damballa","USA",29500,"security","","2006"
"1888","Danal","USA",9500,"mobile","","2006"
"1889","DanceJam","USA",4500,"games_video","0","2007"
"1897","Danfoss IXA Sensor Technologies","DNK",1760,"semiconductor","","2009"
"1898","Danger","USA",118300,"mobile","","1999"
"1899","Danger Room Gaming","USA",355,"games_video","6","2009"
"1903","Danotek Motion Technologies","USA",27700,"cleantech","","2001"
"1913","Dapper","USA",3000,"advertising","30","2006"
"1915","Daptiv","USA",28500,"enterprise","150","1997"
"1922","Dartfish","CHE",3500,"web","50","1999"
"1925","DAS","USA",30,"web","","2007"
"1927","Data Impact","USA",5000,"software","",""
"1929","Dash","USA",65000,"mobile","",""
"1934","Dashwire","USA",3859.459,"mobile","","2006"
"1935","Dasient ","USA",2000,"web","",""
"1950","Data Domain","USA",110850,"security","","2001"
"1951","Data Essence","ISR",1000,"web","",""
"1957","Data Locker Inc.","USA",1500,"security","9","2007"
"1958","Data Robotics","USA",43000,"hardware","","2004"
"1971","DataArt","USA",4000,"software","","1997"
"1973","Databanq","USA",5000,"search","","2006"
"1975","Datalogix","USA",15000,"advertising","",""
"1984","Datacastle","USA",10300,"software","","2005"
"1988","DataCert","USA",12500,"software","","1998"
"1994","DataCore Software","USA",30000,"network_hosting","","1988"
"1995","Datacraft Solutions","USA",4000,"software","13","2002"
"2002","Dataguise","USA",3250,"software","40","2006"
"2003","Dataium","USA",148,"enterprise","12",""
"2007","DATAllegro","USA",57100,"network_hosting","","2003"
"2012","Datameer","USA",11750,"software","30","2009"
"2018","Datamyne","USA",750,"other","","2005"
"2021","DATANG MOBILE COMMUNICATIONS EQUIPMENT","CHN",25000,"public_relations","","2002"
"2023","datango","DEU",2650,"software","","1999"
"2024","Datanomic","GBR",6300,"software","","2001"
"2025","Datapipe","USA",251000,"network_hosting","","1998"
"2027","DataPop","USA",1700,"advertising","14","2008"
"2038","DataRose","USA",100,"software","","2006"
"2041","DataSift","GBR",1500,"other","14","2010"
"2046","DataSphere","USA",20805.381,"enterprise","","2006"
"2048","DataStax","USA",2700,"enterprise","30","2010"
"2051","DataSync","USA",913.038,"software","",""
"2054","Dataupia","USA",41000,"enterprise","60","2005"
"2055","Datavail","USA",7325,"consulting","100","2007"
"2060","DataXu","USA",18800,"advertising","","2009"
"2069","Datran Media","USA",60000,"public_relations","",""
"2070","Datria Systems","USA",959.197,"enterprise","",""
"2074","Datum International","GBR",1150,"software","","1997"
"2078","Daylight Solutions","USA",16000,"hardware","","2004"
"2079","DecImmune Therapeutics","USA",3200,"biotech","","2001"
"2099","DAXKO","USA",7750,"software","",""
"2105","Dayforce","CAN",40000,"enterprise","","2008"
"2106","Daylife","USA",12300,"enterprise","25","2006"
"2113","Daz 3d","USA",4200,"games_video","","2000"
"2115","Dazzling Beauty Group","USA",150,"ecommerce","6","2011"
"2125","DBV Technologies","FRA",28200,"biotech","",""
"2130","DCF Technologies","ISR",860,"software","","2007"
"2131","DCisions","GBR",4500,"other","",""
"2132","DCITS","IND",73000,"network_hosting","",""
"2133","Decision Curve","GBR",1080,"software","",""
"2138","DCWafers","ESP",4700,"cleantech","",""
"2150","Deal Co-op","USA",516,"web","6","2010"
"2164","DealBase Corporation","USA",1000,"web","3","2008"
"2169","DealDash","USA",1400,"ecommerce","10","2009"
